FIPS,State,County,PERCENT.ADULT.DIABETES,DIABETES.CI.LOW,CI.DIABETES.HIGH,NUM.FOOD.INSECURE,PERCENT.FOOD.INSECURE,NUM.LIMITED.ACCESS,PERCENT.LIMITED.ACCESS,MEDIAN.HOUSEHOLD.INCOME,INCOME.CI.LOW,INCOME.CI.HIGH,PERCENT.OBESITY,OBESITY.CI.LOW,OBESITY.CI.HIGH,OBESITY.Z,NUM.UNEMPLOYED,LABOR.FORCE,PERC.UNEMPLOYED,UNEMPLOYED.Z,AVG.DAILY.PM2.5,POLLUTION.Z
06000,California,,9,,,4354400,11,1225949,3,75250,74873,75627,24,,,,815409,19398212,4.2,,9.5,
06001,California,Alameda,7,6,8,198950,12,15141,1,101744,100084,103404,19,17,22,-1.42,25446,848215,3.0,-0.84,10.4,0.09
06003,California,Alpine,7,1,19,170,14,147,12,55384,48346,62422,23,15,35,-0.78,25,547,4.6,-0.25,5.6,-1.56
06005,California,Amador,14,8,22,4320,12,1360,4,58515,51479,65551,30,22,39,0.40,589,14706,4.0,-0.46,8.9,-0.43
06007,California,Butte,10,7,13,35920,16,16363,7,50945,47599,54291,27,22,33,-0.04,5093,102712,5.0,-0.10,8.9,-0.43
06009,California,Calaveras,12,5,21,5480,12,1252,3,62984,57243,68725,31,22,40,0.54,845,21351,4.0,-0.48,9.0,-0.39
06011,California,Colusa,21,11,34,2530,12,632,3,57249,52285,62213,41,29,53,2.31,1418,10969,12.9,2.90,8.7,-0.49
06013,California,Contra Costa,9,7,10,113940,10,31140,3,101463,99731,103195,24,21,27,-0.61,17792,564570,3.2,-0.79,11.6,0.50
06015,California,Del Norte,10,4,21,4490,16,4006,14,48518,43862,53174,34,23,47,1.23,549,9961,5.5,0.10,8.5,-0.56
06017,California,El Dorado,8,5,12,19880,11,10967,6,81869,76132,87606,23,18,28,-0.87,3270,91589,3.6,-0.63,9.3,-0.29
06019,California,Fresno,11,9,13,136340,14,38725,4,52318,50171,54465,31,28,36,0.70,33427,448353,7.5,0.84,15.3,1.78
06021,California,Glenn,10,4,19,3620,13,1003,4,47365,42480,52250,32,23,43,0.86,835,12779,6.5,0.49,9.1,-0.36
06023,California,Humboldt,9,6,13,21900,16,8337,6,49471,46007,52935,29,23,35,0.28,2245,63027,3.6,-0.63,8.8,-0.46
06025,California,Imperial,9,6,14,25480,14,16065,9,46633,42601,50665,35,26,45,1.27,12855,71055,18.1,4.84,13.5,1.16
06027,California,Inyo,9,4,18,2040,11,2261,12,53793,48462,59124,28,18,40,0.05,337,8725,3.9,-0.52,7.3,-0.98
06029,California,Kern,9,8,12,117590,13,45136,5,51586,49360,53812,32,28,37,0.86,30865,386997,8.0,1.03,19.7,3.29
06031,California,Kings,10,6,16,19880,13,7442,5,58255,54269,62241,29,22,37,0.35,4481,57865,7.7,0.94,16.7,2.26
06033,California,Lake,13,8,19,9980,16,5718,9,45086,40326,49846,25,18,34,-0.41,1522,29116,5.2,0.00,6.9,-1.11
06035,California,Lassen,20,9,33,4380,14,2547,7,57705,51709,63701,41,28,53,2.38,474,9899,4.8,-0.17,7.4,-0.94
06037,California,Los Angeles,8,8,9,1135710,11,161791,2,67986,67160,68812,22,20,23,-1.01,239829,5136341,4.7,-0.21,14.2,1.40
06039,California,Madera,12,8,19,17570,11,14152,9,53632,48351,58913,36,28,44,1.48,4316,61528,7.0,0.67,14.0,1.33
06041,California,Marin,5,3,8,24840,10,4306,2,122933,115640,130226,17,13,21,-1.92,3363,141111,2.4,-1.07,10.3,0.06
06043,California,Mariposa,7,2,16,2510,14,1118,6,51402,45578,57226,24,17,33,-0.64,406,7663,5.3,0.02,9.2,-0.32
06045,California,Mendocino,8,5,12,11870,14,5937,7,51386,47191,55581,32,25,39,0.83,1564,39715,3.9,-0.49,8.8,-0.46
06047,California,Merced,14,10,20,34970,13,18756,7,56169,53014,59324,28,22,35,0.17,9574,115408,8.3,1.15,12.0,0.64
06049,California,Modoc,19,7,35,1400,16,1133,12,45227,40258,50196,28,18,41,0.15,240,3179,7.5,0.87,6.6,-1.22
06051,California,Mono,6,1,16,1500,11,2139,15,66499,58229,74769,25,16,36,-0.36,328,8524,3.8,-0.52,6.1,-1.39
06053,California,Monterey,8,6,11,41110,10,14418,3,69665,66010,73320,28,23,33,0.05,14047,224057,6.3,0.39,6.7,-1.18
06055,California,Napa,9,5,13,11320,8,3165,2,85624,81410,89838,24,18,30,-0.64,2181,74547,2.9,-0.87,10.6,0.16
06057,California,Nevada,6,4,10,12030,12,6689,7,66681,60701,72661,22,16,28,-0.96,1694,48870,3.5,-0.67,8.1,-0.70
06059,California,Orange,9,8,10,290660,9,26825,1,89373,87490,91256,19,18,21,-1.42,47541,1625426,2.9,-0.87,10.6,0.16
06061,California,Placer,7,5,9,38710,10,10539,3,89175,83942,94408,21,17,24,-1.17,5837,185213,3.2,-0.79,10.5,0.13
06063,California,Plumas,11,5,20,2910,16,467,2,55079,49307,60851,27,17,40,-0.09,588,7848,7.5,0.85,9.9,-0.08
06065,California,Riverside,9,8,11,221660,9,149951,7,66793,65542,68044,27,25,30,-0.06,47808,1092371,4.4,-0.32,14.8,1.61
06067,California,Sacramento,10,8,11,215570,14,62748,4,69475,67689,71261,29,27,31,0.26,26948,710442,3.8,-0.54,9.1,-0.36
06069,California,San Benito,9,4,17,3280,6,1730,3,80063,71872,88254,32,23,42,0.86,1561,30869,5.1,-0.07,6.2,-1.35
06071,California,San Bernardino,9,8,11,214580,10,162905,8,63310,61325,65295,29,26,32,0.24,38779,961030,4.0,-0.45,14.9,1.64
06073,California,San Diego,7,6,8,360530,11,95164,3,78777,77267,80287,20,19,22,-1.26,52663,1592193,3.3,-0.73,10.4,0.09
06075,California,San Francisco,7,5,8,115190,13,2592,0,110601,106549,114653,18,16,21,-1.60,13545,575567,2.4,-1.09,9.8,-0.12
06077,California,San Joaquin,10,8,13,92520,13,32685,5,63567,60979,66155,33,29,37,0.93,19571,326387,6.0,0.29,11.9,0.61
06079,California,San Luis Obispo,8,6,11,32530,12,12010,4,70626,66590,74662,26,21,30,-0.34,4151,140920,2.9,-0.86,10.5,0.13
06081,California,San Mateo,8,6,10,63170,8,7902,1,122930,118247,127613,21,18,25,-1.10,10007,454875,2.2,-1.14,9.2,-0.32
06083,California,Santa Barbara,9,7,11,43590,10,13266,3,75646,72136,79156,25,20,29,-0.50,8437,216698,3.9,-0.51,10.2,0.02
06085,California,Santa Clara,8,7,9,169390,9,17684,1,125933,122773,129093,19,17,22,-1.42,27282,1048804,2.6,-0.99,8.9,-0.43
06087,California,Santa Cruz,7,5,10,30300,11,9975,4,84213,79675,88751,19,15,24,-1.49,6984,142618,4.9,-0.13,7.5,-0.91
06089,California,Shasta,11,8,15,28440,16,15556,9,53908,49666,58150,24,19,30,-0.64,3669,74215,4.9,-0.11,8.4,-0.60
06091,California,Sierra,7,1,21,380,13,902,28,52308,45418,59198,25,16,36,-0.48,77,1278,6.0,0.30,6.7,-1.18
06093,California,Siskiyou,13,7,22,7340,17,4609,10,47560,43909,51211,32,23,42,0.77,1166,17410,6.7,0.55,9.6,-0.18
06095,California,Solano,10,8,13,54670,13,13981,3,82808,78938,86678,30,26,35,0.51,8168,209721,3.9,-0.51,11.0,0.30
06097,California,Sonoma,7,6,9,50100,10,19424,4,81002,78527,83477,22,19,26,-0.89,7187,262348,2.7,-0.94,10.1,-0.01
06099,California,Stanislaus,11,9,14,63550,12,24982,5,59616,56164,63068,31,26,35,0.54,15598,243538,6.4,0.44,12.3,0.74
06101,California,Sutter,10,6,16,13800,14,10253,11,57879,53923,61835,32,24,40,0.77,3392,45477,7.5,0.84,9.4,-0.25
06103,California,Tehama,10,5,17,9120,14,6278,10,47572,43228,51916,28,20,37,0.08,1450,25626,5.7,0.16,8.7,-0.49
06105,California,Trinity,8,3,18,2150,17,1022,7,40680,35719,45641,34,23,46,1.07,268,4707,5.7,0.17,7.8,-0.80
06107,California,Tulare,9,7,13,60660,13,35319,8,48763,45795,51731,37,31,44,1.71,19649,204589,9.6,1.65,17.8,2.64
06109,California,Tuolumne,10,5,17,7320,14,5654,10,56500,50407,62593,33,25,42,1.02,982,21339,4.6,-0.24,8.9,-0.43
06111,California,Ventura,9,7,11,64680,8,27136,3,84170,81601,86739,21,17,24,-1.19,16066,425728,3.8,-0.55,11.2,0.37
06113,California,Yolo,6,4,9,28320,13,3873,2,67804,63064,72544,24,19,29,-0.62,4562,108518,4.2,-0.39,9.8,-0.12
06115,California,Yuba,12,7,19,11100,15,8673,12,47504,42463,52545,34,26,44,1.23,1863,29078,6.4,0.44,9.6,-0.18